attack_id,AUC,EER
A09,0.9998457078334713,0.0035990069300742247
A14,0.9992472429250131,0.003701199724313228
A15,0.997780312192277,0.003837604347461582
A07,0.9971431808617397,0.004040661858472883
A12,0.9963761884564061,0.005262105771963038
A13,0.9959244484397443,0.005636222427520873
A10,0.9960559972796547,0.006451108626499542
A08,0.9989470559151049,0.006451108626499542
A11,0.9937452531606168,0.013207910250738274
A16,0.9946213969327499,0.01711261017855174
A19,0.9893145792194059,0.03717907215527881
A18,0.9753133501943835,0.07279635287793004
A17,0.858672401194495,0.21917017569634836
